,Year,Country,Inflation Rate (%),Year,Country,"Foreign direct inflows, net (BoP, current US$)",Year,Country,GDP (current US$),Year,Country,Population ages 15-64 (% of total population),Year,Country,average_wages,Country,Year,automation,Year,Country,robot,Year,Country,unemployment
123,2013,United States,1.7509497788179118,2013,United States,288131000000.0,2013,United States,16843190993000.0,2013,United States,66.5719624236532,2013,United States,42945.36,United States of America,2013,2721346038484.0,2013,United States,1193,2013,United States,7.375
124,2014,United States,1.8698913722099348,2014,United States,251856000000.0,2014,United States,17550680173999.998,2014,United States,66.4410413965544,2014,United States,43482.0,United States of America,2014,2824208619298.0,2014,United States,1230,2014,United States,6.168
125,2015,United States,1.000541632911407,2015,United States,511434000000.0,2015,United States,18206020741000.0,2015,United States,66.3750863651906,2015,United States,44740.44,United States of America,2015,2753190029476.0,2015,United States,1198,2015,United States,5.28
126,2016,United States,1.002235480218161,2016,United States,474388000000.0,2016,United States,18695110842000.0,2016,United States,66.1534833947932,2016,United States,46015.2,United States of America,2016,2686787033463.0,2016,United States,1265,2016,United States,4.869
127,2017,United States,1.89961014,2017,United States,380823000000.0,2017,United States,19477336549000.0,2017,United States,65.87778583,2017,United States,47462.159999999996,United States of America,2017,2743890000000.0,2017,United States,1317,2017,United States,4.355
128,2018,United States,2.404058592643807,2018,United States,214715000000.0,2018,United States,20533057312000.0,2018,United States,65.6912807447973,2018,United States,49061.64,United States of America,2018,2952638000000.0,2018,United States,1584,2018,United States,3.896
129,2019,United States,1.793930500895513,2019,United States,315984000000.0,2019,United States,21380976119000.0,2019,United States,65.4722992136952,2019,United States,50796.96,United States of America,2019,2951622000000.0,2019,United States,1654,2019,United States,3.669
130,2020,United States,1.3049120712056208,2020,United States,138363000000.0,2020,United States,21060473613000.0,2020,United States,65.2652503157439,2020,United States,54026.28,United States of America,2020,2755294000000.0,2020,United States,1685,2020,United States,8.055
131,2021,United States,4.492792235768505,2021,United States,493085000000.0,2021,United States,23315080560000.0,2021,United States,65.0780698085871,2021,United States,55201.56,United States of America,2021,3149949000000.0,2021,United States,1632,2021,United States,5.349
132,2022,United States,4.88645595154263,2022,United States,388078000000.0,2022,United States,25439700000000.0,2022,United States,64.9124413446425,2022,United States,58135.44,United States of America,2022,3616564000000.0,2022,United States,1674,2022,United States,3.65
